CustLocation,total_customers,avg_balance,total_transaction_volume
KOLHAOUR,1,22081.71,0
KOLHAPUR,1706,45015.04789628764,0
"KOLHAPUR RANGOLI",1,45.87,0
"KOLHATI MIDC WALUJ AURANGABAD",3,232182.89,0
"KOLIWADA MUMBAI",20,20788.249000000003,0
"KOLIWADA WORLI COLONY MUMBAI",1,3629.97,0
KOLKATA,19874,165282.22932832252,0
"KOLKATA NEAR COLLEGE MORE KOLKATA",20,65352.36000000001,0
"KOLKATA NEAR LINDSAY KOLKATA",2,1402.2,0
"KOLKATA PO GARIA",1,5218.78,0
KOLKATTA,6,86837.48833333333,0
"KOLKI ROAD UPLETA RAJKOT",10,24415.739999999998,0
KOLLAKADAVU,2,27048.47,0
KOLLAM,613,52055.63123778513,0
"KOLLAM DISTRICT",30,4453.339999999997,0
"KOLLAM PERUMPUZHA",5,10.47,0
KOLLEGAL,3,3847.43,0
"KONAPPANA AGRAHARA BANGALORE",1,10313.22,0
"KONDA VIJAYAWADA",1,516.42,0
KONDHAPURI,4,513.99,0
"KONDHWA BUDRUK PUNE",2,5574.26,0
"KONDHWA KHURD PUNE",10,23670.140000000003,0
"KONDHWA KHURD, PUNE",2,15055.01,0
"KONE PANVEL",29,18998.674137931033,0
KOOTHATTUKULAM,9,9088.76,0
"KOPAR KHAIRANE",2,36478.6,0
"KOPAR KHAIRANE NAVI MUMBAI",1,266.15,0
"KOPAR KHAIRNE SO NAVIMUMBAI",2,1610.86,0
"KOPAR W",6,427.5299999999999,0
KOPARKAIRNE,2,10539.2,0
KOPARKHAIRANE,7,21587.685714285715,0
"KOPARKHAIRANE NAVI MUMBAI",2,122014.985,0
"KOPARKHAIRANE THANE",1,7767.09,0
"KOPARKHAIRNE NAVI MUMBAI THANE",7,33400.56,0
KOPARKHIRANE,3,16873.71,0
KOPERKAIRNE,1,16089.55,0
KOPERKHAIRANE,3,56391.94,0
"KOPERKHAIRNE NAVI MUMBAI",1,0.03,0
KOPERKHARINE,1,10401.75,0
KOPPAL,40,41317.70349999999,0
KOPPARA,1,81190.82,0
KORABUT,3,15007.51,0
"KORAJJUR CHENNAI",1,71.25,0
"KORAMAGALA 1ST BLOCK BANGALORE",2,27606.8,0
"KORAMANGALA 1ST BLOCK BANGALORE",95,84210.29389473675,0
"KORAMANGALA BANGALORE",118,64376.93033613452,0
"KORAMANGALA IST BLOCK BANGALORE",28,69237.80321428565,0
"KORAMANGALAM BANGALORE",5,814.58,0
"KORAMANGLA 1ST BLOCK BANGALORE",1,17761.81,0
KORAPUT,104,27821.952115384585,0
"KORAPUT O",17,16872.640000000007,0
"KORATTY P O THRISSUR",4,11720.55,0
KORBA,38,23891.995000000014,0
"KOREGAON PARK PUNE",17,243723.35000000006,0
KORIA,4,5005.28,0
KORIMNAGAR,27,4228.330000000001,0
"KORMANGALA 1ST BLOCK BANGALORE",46,17393.538695652165,0
"KORMANGALA 1ST BLOCK BANGLORE",1,53.74,0
"KORMANGALA 4TH BLOCK BANGALORE",2,190.55,0
"KORMANGALA BANGALORE",93,56925.96095744676,0
KOSAMBA,1,39.94,0
KOSLI,12,16169.754999999997,0
KOTA,1252,75797.14222665565,0
"KOTA BALLABH BARI",5,11213.02,0
KOTAGIRI,3,5908.81,0
"KOTAK MAHINDRA BANK ATM MUMBAI",1,46513.92,0
"KOTAK MAHINDRA BANK BANGALORE",38,59328.39999999996,0
KOTDWARA,20,9356.182499999999,0
"KOTDWARA GARHWAL",9,15357.229999999998,0
"KOTDWARA PAURI GARHWAL",1,30085.77,0
KOTESHWARA,1,977.52,0
"KOTEWSHWAR MOTTERA",15,35045.09999999999,0
KOTHAMANGALAM,16,31233.481250000004,0
"KOTHAMANGALAM ERNAKULAM",6,41884.23,0
"KOTHANUR BANGALORE",15,21368.44,0
KOTHAPUR,1,120883.05,0
KOTHIKODE,9,1218736.42,0
"KOTHRUD PUNE",5,1479.478,0
"KOTHRUD PUNE (M CORP) PUNE PUNE",6,37525.9,0
KOTKAPURA,2,31521.79,0
KOTKASIM,16,97443.46250000002,0
KOTPUTLI,5,1146.31,0
KOTRI,12,5411.379999999999,0
"KOTRI RAJSAMAND",1,3171.76,0
"KOTTAM CHENNAI",1,43030.96,0
KOTTANGAL,1,91.58,0
KOTTARAKKARA,23,13853.024347826087,0
KOTTAYAM,1358,38748.527122884465,0
"KOTTAYAM (DISTIC)",5,90956.92,0
"KOTTAYAM DIST",12,3831.910000000001,0
"KOTTOPPADAM PO",9,1924.7999999999997,0
KOVAI,11,14481.456363636365,0
KOVAIPUDUR,2,41237.07,0
"KOVIL CHENNAI",6,3976.2000000000003,0
"KOVILAMBAKKAM CHENNAI",1,280085.18,0
KOVILANDY,5,121.23999999999998,0
KOVILPATTI,10,1510.4959999999999,0
KOVVUR,4,29445.5,0
"KOVVUR WEST GODAVARI",1,7294.7,0
KOVVURU,2,4909.95,0
KOZHA,1,39.72,0
KOZHENCHERRY,3,25.81,0
KOZHIKODA,9,391.63000000000005,0
KOZHIKODE,576,56286.846423611096,0
"KOZHIKODE DT",7,11446.284285714284,0
KOZHUVANAL,5,119.64000000000001,0
"KPM DT",2,245.27,0
"KR PURAM BANGALORE",66,16154.519999999984,0
"KR PURAM HOBLI BANGALORE",7,20035.31,0
KRISHNA,719,22525.50623611114,0
"KRISHNA DIST",11,12725.516363636365,0
"KRISHNA DISTRICT",295,8809.238918918913,0
"KRISHNA DT",1,7450.94,0
"KRISHNA HIGH SCHOOL HYDERABAD",5,7919.08,0
"KRISHNA HOTEL NAVI MUMBAI",3,151.48,0
"KRISHNA NAGAR",1,19421.76,0
"KRISHNA VIJAYAWADA",4,3766.6549999999997,0
KRISHNAGIRI,307,49212.16817589581,0
"KRISHNAGIRI DT",5,9868.45,0
"KRISHNAGIRI-TK AND DT",10,3888.760000000001,0
KRISHNAGIRI(DT),2,204810.97,0
"KRISHNAGIRI(DT) HOSUR",1,977.27,0
KRISHNANAGAR,14,8945.589999999998,0
"KRISHNANAGAR EAST DELHI DELHI",11,12875.83,0
KRISHNAPURAM,3,7246.98,0
"KRISHNARAJAPURAM HOBLI BANGALORE",40,120991.57474999999,0
KRISHNARAJPET,9,6358.52,0
"KUALA BELAIT",2,130811.86499999999,0
"KUALA LAMPUR",2,77313.06,0
"KUALA LUMPUR",34,36463.63558823528,0
KUALALUMPUR,2,3604.8900000000003,0
"KUBER NAGAR",2,21792.24,0
KUBRI,1,13316.41,0
"KUCHAMAN CITY",1,6414.01,0
KUDAL,4,194406.97,0
KUDAVOOR,1,17649.28,0
"KUDLU PUBLIC SCHOOL BANGALORE",12,273171.69,0
"KUKATPALLY BESIDE LEE PHARMA",3,59160.670000000006,0
"KUKATPALLY HYDEABAD",1,1392.14,0
"KUKATPALLY HYDERABAD",14,11435.687142857141,0
"KUKATPALLY HYDERABAD HYDERABAD",1,2295.55,0
"KUKATPALLY TIRUMALAGIRI HYDERABAD",7,2730831.2100000004,0
KULATHOOR,13,4.82,0
KULITHALAI,4,4261.3,0
KULLU,173,44931.21473988447,0
KULTI,7,228.86285714285717,0
KUMARAKOM,16,3404.7799999999993,0
KUMARAMANGALAM,3,11927.9,0
KUMARANELLOOR,1,10589.8,0
KUMARGHAT,17,57236.52000000001,0
"KUMATA DIST",1,1273.86,0
KUMBAKONAM,16,25914.68,0
"KUMBAKONAM TK",8,48588.88,0
"KUMBHARIYA ROAD MAGUB SURAT",1,82145.01,0
KUMTA,8,9515.2525,0
"KUNDA PRATAPGARH",3,86766.73,0
"KUNDALAHALLI BENGALURU",12,215009.68000000002,0
"KUNDANAHALLI BROOKFIELD BANGALORE",12,2025.4900000000005,0
KUNDAPUR,2,415943.56,0
KUNDAPURA,4,18.45,0
KUNDHA,1,2668.33,0
KUNDLI,15,69749.71000000002,0
"KUNDLI SONEPAT",33,36924.90000000001,0
"KUNDLI SONIPAT",1,448.01,0
KUNIYIL,16,85693.91,0
KUNNAMKULAM,1,5676.15,0
KUNNATHUNAD,2,4358.5,0
KUNNOTHUPARAMBA,5,1779.53,0
"KUPPAM KILVAYATHINANKUPPAM VELLORE",1,2168.47,0
KUPWARA,1,17058.57,0
KURALI,131,91234.30824427471,0
KURGAON,9,39.43,0
KURICHI,3,15.14,0
KURICHIKKRAR,2,38475.99,0
KURKIHAR,1,39.99,0
KURLA,12,112497.76,0
"KURLA (EAST) MUMBAI",1,15035.12,0
"KURLA (W) MUMBAI",98,17599.847070707056,0
"KURLA ANDHERI RD MUMBAI",64,1005719.5474999999,0
"KURLA ANDHERI ROAD MUMBAI",11,111118.91,0
"KURLA EAST",12,47047.39000000001,0
"KURLA MUMBAI",1,3713.67,0
"KURLA RD ANDHERI (E) MUMBAI",5,37719.67,0
"KURLA RD ANDHERI EAST MUMBAI",9,159656.87,0
"KURLA ROAD ANDHERI (E) MUMBAI",2,44461.05,0
"KURLA ROAD ANDHERI E MUMBAI",15,22149.734,0
"KURLA ROAD ANDHERI EAST MUMBAI",16,133592.79437499997,0
"KURLA ROAD SAKINAKA MUMBAI",11,1945.65,0
"KURLA W",19,1174822.5500000003,0
"KURLA W MUMBAI",117,59223.783675213635,0
"KURLA WEST - MUMBAI",3,162582.12,0
"KURLA WEST MUMBAI",40,48153.147000000026,0
"KURLA WEST- MUMBAI",2,905026.49,0
"KURLA WEST-MUMBAI",1,76612.37,0
"KURMANNAPAL VISKHAPATNAM",7,16155.44,0
KURNOOL,480,29412.949833679882,0
"KURNOOL DIST",1,3147.54,0
"KURNOOL DT",4,21295.23,0
KURSEONG,5,19930.96,0
KURUD,6,9913.019999999999,0
KURUKSHETA,2,106.33,0
KURUKSHETRA,295,20726.36549152541,0
"KURUM PADA",2,26598.68,0
"KURUNG KUMEY",3,15.36,0
KURUSHETRA,5,27059.57,0
"KUSHAL NAGAR KODAGU",4,247.02,0
KUSHALNAGAR,24,4149.602500000001,0
"KUSHI NAGAR",11,14233.043636363638,0
KUSHINAGAR,138,14200.372753623193,0
KUSHMANDI,1,226.21,0
KUSTAGI,1,9278.08,0
KUSUNDA,1,6318.85,0
KUTCH,41,33828.84536585366,0
"KUTCH GANDHIDHAM",1,7065.35,0
KUTHA,8,364.71,0
KUTTAMPUZHA,2,11891.95,0
KUTTAMPZHA,2,11582.76,0
KUTTANAD,1,2396.52,0
KUTTANADU,6,21081.563333333335,0
"KUTTOOR PANCHAYATH",8,50356.56,0
"KUVA WALI GALI GREATER NOIDA",8,23922.22,0
KUWAIT,77,2472211.439999995,0
"KUWAIT CITY",73,148608.59616438372,0
KUZHIMATTOM,1,12876.63,0
"KV RANGAREDDY",11,32164.471818181824,0
KYOTO,1,175918.57,0
"L N PURAM BANGALORE",32,195237.07000000007,0
"LAB NIT FARIDABAD",7,135157.27,0
"LAB TRICHY",1,110729.11,0
"LABOUR CHOWK DELHI",1,25055.39,0
LACKNOW,2,49.39,0
LADNUN,2,9962.91,0
LAGOS,59,3524706.2589830505,0
"LAHUL AND SPITI",20,263227.04999999993,0
LAIKOL,1,13699.58,0
"LAJPAT NAGAR DELHI",1,70688.65,0
"LAKDIKAPOOL HYDERABAD",1,17754.33,0
"LAKE CITY MALL THANE WEST THANE",1,13.76,0
"LAKE CITY MALL W THANE",10,27.369999999999997,0
"LAKE MAHAL WARD NO 53 NAGPUR NAGPUR",4,22326.02,0
"LAKHANI KIRANA ITARSI",4,3766.34,0
"LAKHI SARAI",16,139396.96,0
LAKHIMPUR,71,19947.154366197195,0
"LAKHIMPUR KHERI",13,174001.78923076924,0
LAKHIMPUR-KHERI,36,22534.194444444438,0
LAKHISARAI,27,59199.15555555553,0
LAKHISARAY,4,22688.0225,0
"LAKHMPUR KHIRI",6,8135.21,0
LAKHTAR,1,5423.22,0
LAKKAVARAM,39,21.490000000000006,0
"LAKSHMI MEDICALS HOSUR",3,6557.45,0
"LAL HOSPITAL NEW DELHI",1,462.51,0
"LALA TEMPLE HYDERABAD",1,48714.5,0
"LALAGUDA SECUNDERABAD HYDERABAD",2,164065.78,0
LALANGUTE,2,18739.16,0
"LALBAUG MUMBAI",41,17924.609268292686,0
LALGUDI,1,1098.52,0
"LALIT PUR",1,717693.04,0
LALITPUR,41,55962.01707317069,0
LALKUAN,3,3042.056666666667,0
"LALLAGUDA NEAR RRB HYDERABAD",2,27851.07,0
"LAMINGTON ROAD MUMBAI",3,26682.906666666666,0
LANDHRAN,3,359243.88000000006,0
"LANE BOWRAMPET HYDERABAD",4,28516.79,0
"LANE EKSAR RD BORIVALI MUMBAI",4,77343.85,0
"LANE GANDHI NGR BORING RD PATNA",1,61736.83,0
"LANE GHATKOPAR E MUMBAI",8,1524.63,0
"LANE HYDERABAD",10,24924.545,0
"LANE ITARSI",1,8743.32,0
"LANE MUMBAI",2,395231.26,0
"LANEMIYAPUR HYDERABAD",6,6463.89,0
"LASHKAR CITY",2,29745.01,0
"LASHKAR GWALIOR",4,12113.6525,0
LATEHAR,5,21579.408000000003,0
LATHUR,5,8175.539999999999,0
LATUR,140,12583.824000000006,0
LAUBANJ,4,156839.34,0
LAWNGTLAI,14,634.6228571428575,0
"LAWNS NASHIK",3,39077.21,0
"LAWSPET PONDICHERRY",13,369188.36,0
LAXMANGARH,12,10038.372500000003,0
"LAXMI NAGAR HYDERABAD",1,3754.86,0
"LAXMIGANAPATHI TEMPLE RANGAREDDY",3,63.95000000000001,0
LAXMINAGAR,110,43209.01899999998,0
"LAYOUT 2ND SECTOR BANGALORE",1,4417.41,0
"LAYOUT 5TH PHASE JP NGR BANGALORE",1,373986.7,0
"LAYOUT BANGALORE",33,269585.82818181824,0
"LAYOUT BANGALORE NORTH",7,77774.67,0
"LAYOUT BOGADHI MYSORE",1,10510.44,0
"LAYOUT J P NGR 3RD PHASE BANGALORE",6,23324.61,0
"LAYOUT PH 1 MALLATHAHALLI BANGALORE",2,52096.98,0
"LBS MARG THANE",3,2569.24,0
"LBS MARG THANE W THANE",12,98320.54000000002,0
LEEDS,2,20110.73,0
LEIDEN,17,2530496.82,0
LEIKAI,1,5205.88,0
LESRIWAL,1,24.45,0
"LIFESTYLE HYDERABAD",6,111313.58999999998,0
LIKABALI,1,96.26,0
LILUAH,3,7518.149999999999,0
LIMBASI,17,10443.350000000002,0
"LIMITED BILASPUR",2,14386.87,0
"LINE MUNGER",9,9866.35,0
"LINE ROAD HYDERABAD",8,149157.54,0
"LINE SCHOOL HYDERABAD",4,14323.38,0
"LINES K V RANGAREDDY",5,3.9300000000000006,0
"LINGAMGUNTLA GUNTUR",2,2199.225,0
"LINGAPURAM NELLORE",6,41695.76,0
"LINGARAJAPURAM BANGALORE",1,27710.65,0
"LINGASUGUR HQ",1,170.4,0
"LINK RD GOREGAON W MUMBAI",1,9292.65,0
"LINK RD MUMBAI",14,173.88000000000005,0
"LINK ROAD ANDHERI (WEST) MUMBAI",5,39369.38,0
"LINK ROAD ANDHERI MUMBAI",1,7079.7,0
"LINK ROAD ANDHERI WEST MUMBAI",3,59435.53,0
LIPPA,23,4678.61,0
LIVERPOOL,3,4690503.75,0
"LLAYOUT BANGALORE",6,29170.5,0
"LLI OUTER RING RD BANGALORE",1,237.78,0
LODZ,6,7739.45,0
LOHAGHAT,4,14703.59,0
LOHARADAGA,32,6826.75,0
LOHARDAGA,36,3113.6547222222225,0
LOHIT,45,7528.822444444448,0
"LOKHANDWALA COMPLEX MUMBAI",3,32808.15,0
"LOKHANDWALA RESIDENCY WORLI MUMBAI",7,284840.60000000003,0
LONAR,1,14207.3,0
LONAVALA,7,64962.375714285714,0
LONDON,15,251869.37333333326,0
LONI,13,73519.67999999996,0
"LORETO COLLEGE DARJEELING",1,25.49,0
"LOTUS BUS STOP WORLI MUMBAI",1,1592.93,0
"LOUTOLIM SALCETE",1,82329.39,0
"LOWER DAREL WORLI MUMBAI",1,14150.98,0
"LOWER DIBANG VALLEY",9,23997.47,0
"LOWER PAREL ( WEST ) MUMBAI",1,10619.85,0
"LOWER PAREL E MUMBAI",2,30975.06,0
"LOWER PAREL MUMBAI",237,30336.013459915626,0
"LOWER PAREL W MUMBAI",14,22908.686428571422,0
"LOWER PAREL WEST",5,57047.87999999999,0
"LOWER PAREL WEST MUMBAI",1,12793.37,0
"LOWER PAREL-W MUMBAI",4,6839.525000000001,0
"LOWERPAREL MUMBAI",8,2906.995,0
"LOWERPAREL W MUMBAI",1,103575.79,0
"LOWERPAREL WEST MUMBAI",4,10842.01,0
"LOWR PAREL MUMBAI",15,166655.68,0
"LT DEPT THANE",1,2344.73,0
"LTD ANDHERI WEST MUMBAI",5,15014.34,0
LUCKNOE,2,76363.2,0
LUCKNOIW,1,33226.39,0
LUCKNOW,7743,86362.9739855629,0
"LUCKY RESTAURANT GIDC VAPI VAPI",4,892.94,0
"LUCKY RESTAURANT VAPI",3,3755.68,0
LUDDALORE,2,7.68,0
LUDHIANA,4923,92582.12435224683,0
"LUDHIANA KHANNA",8,4368.3600000000015,0
"LUDHIANA LUDHIANA",8,71814.18,0
"LUDHIANA NR RAJGURU MARKET LUDHIANA",5,2234152.4,0
LUDHIANAN,2,154886.01,0
LUDHUINANA,1,267973.71,0
LUNAWADA,3,9282.796666666667,0
LUNGLEI,6,2295.42,0
"LUNGLEI DISTRICT",6,4030.06,0
LUPUNG,1,55.08,0
LUTON,21,260109.55999999994,0
"M CL AMNERNATH BADLAPUR",7,0,0
"M GARH MAHENDERGARH",1,133243.95,0
"M GOBINDGARH",43,327894.22000000015,0
"M N RD SECUNDERABAD",1,52.39,0
MAARSSEN,9,110577.61,0
"MACHHAILA SAS NGR PANCHKULA MOHALI",7,44394.14000000001,0
MACHILIPATNAM,5,1666.2559999999999,0
MADANPLLI,4,101631,0
"MADANPURI MUMBAI",2,604552.96,0
MADDUR,5,12953.6,0
"MADHANANDHAPURAM CHENNAI",8,29653.25,0
MADHAPAR,3,5308.28,0
"MADHAPAR (GUJARAT)",5,8898.757999999998,0
MADHAPUR,19,10220.621052631579,0
"MADHAPUR HYDERABAD",14,148900.3585714286,0
"MADHAVAARAM NR R C APP CHENNAI",12,19013.03,0
MADHEPURA,35,46652.70771428571,0
MADHOPUR,3,1635.09,0
"MADHUBAN TOWNSHIP",1,21304.4,0
MADHUBANI,133,12836.727593984964,0
MADHUGORA,1,348.57,0
"MADHUPARK ROAD MUMBAI",2,16789.64,0
MADHURAI,4,365930.65249999997,0
MADHURANAGAR,2,2707.59,0
"MADHYA PRADESH",1,850.23,0
"MADHYA PRADESH PIPARIYA",2,12952,0
"MADHYA VIDYALAYA DHANBAD",15,12832.390000000003,0
MADHYAMGRAM,13,11354.561538461536,0
"MADINA HOTEL PUNE",1,0,0
MADINIPUR,18,3377.849999999999,0
MADIPAKKAM,2,58389.55,0
MADIPPAKKAM,6,648987.54,0
"MADITAKKAM KANCHEEPURAM",3,44806.44,0
MADURAI,900,42586.88826859046,0
"MADURAI (DT)",1,3715.01,0
"MADURAI CITY",6,15732.17,0
"MADURAI DIST",1,9923.38,0
"MADURAI DISTRICT",1,2669.81,0
"MADURAI DT",9,3365.5244444444443,0
"MADURAI RURAL",20,5656.550000000002,0
"MADURAI ST",5,9099.39,0
"MAGARPATTA CITY HADAPSAR PUNE",10,46723.206,0
"MAGARPATTA RD HADAPSAR PUNE",1,7180.53,0
MAGRODA,19,14987.269999999997,0
"MAHA RAJA HOTEL HYDERABAD",3,1381.4800000000002,0
"MAHABALESHWAR HOTEL BANER PUNE",1,20025.66,0
"MAHABIRSTHAN SILIGURI",2,1946.18,0
MAHABNAGAR,3,7899.100000000001,0
MAHABOOBNAGAR,30,23667.995666666662,0
"MAHABUB NAGAR",89,15783.150112359554,0
MAHABUBABAD,5,5693.21,0
MAHABUBNAGAR,89,12014.537415730341,0
MAHABUBNGAR,1,28687.2,0
MAHAD,3,2972.18,0
"MAHADEV MANDIR  SURAT",1,20493.85,0
"MAHADEV TEMPAL SURAT",1,325042.32,0
MAHADEVAPURA,10,73922.04000000001,0
"MAHADEVAPURA BANGALORE",3,4.51,0
"MAHADEVAPURA VILLAGE BANGALORE",71,426725.7899999994,0
"MAHAKALI CAVES ROAD MUMBAI",10,515.4899999999999,0
"MAHALAKSHMI PURAM BANGALORE",4,12023.63,0
"MAHALAKSHMIPURAM BANGALORE",11,7402.331818181818,0
"MAHALAXMI (W) MUMBAI",3,9.59,0
"MAHALAXMI MUMBAI",242,56051.68867768588,0
"MAHALAXMI(EAST) MUMBAI",1,21.69,0
"MAHALINGAPURAM CHENNAI",45,13512.57666666666,0
"MAHALPAT KANGRA",1,2542.6,0
"MAHALUNGE PUNE",7,827783.75,0
"MAHALUNGE PUNE PUNE",13,142181.03,0
"MAHAMAYA NAGAR",43,10243.010714285718,0
"MAHAPE NAVI MUMBAI",4,8.4575,0
MAHARAJGANJ,75,73256.29226666667,0
"MAHARASHTRA CHIPLUN",1,354.47,0
"MAHARASHTRA MUMBAI",24,53512.289999999986,0
"MAHARASHTRA NAGAR MUMBAI",3,4050.9499999999994,0
"MAHARASHTRA PUNE",24,48054.38999999999,0
MAHASAMUND,6,3346.398333333333,0
"MAHATMA GANDHI STATUE HYDERABAD",5,8448.29,0
"MAHATMA TEMPLE BANGALORE",5,236252.7,0
MAHBOOBNAGAR,5,2360.09,0
MAHBOULA,3,11.910000000000002,0
MAHBUBNAGAR,71,73695.25676056335,0
"MAHBUBNAGAR DIST",3,13828.1,0
MAHE,4,17175.74,0
"MAHENDER GARH",10,6596.17,0
MAHENDERGARH,20,6776.811,0
"MAHENDRA GARH",22,20418.416363636374,0
MAHENDRAGARH,213,74055.92098591548,0
MAHESANA,120,29087.755537190125,0
"MAHESHWARI BHAWAN ITARSI",2,4612.09,0
MAHILPUR,13,151585.24846153846,0
MAHIM,3,14278.269999999999,0
"MAHIM (W) MUMBAI",15,365.29,0
"MAHIM EAST,MUMBAI",1,2825.64,0
"MAHIM MUMBAI",22,160255.97909090904,0
"MAHIM W",2,29684.41,0
"MAHINDER GARH",1,3624.32,0
"MAHINDRA TOWERS MUMBAI",2,49217.13,0
"MAHIPAL PUR",4,85125.64,0
"MAHIPALPUR EXTENSION NEW DELHI",9,96.75,0
"MAHIPALPUR NEW DELHI",6,16275.17,0
MAHISAGAR,23,1844.3913043478267,0
MAHOBA,40,21945.700500000014,0
MAHUAR,1,1877.38,0
MAHUDHA,4,407410.95,0
MAHUVA,9,222875.33000000002,0
MAHUWA,2,7552.66,0
"MAIDAN PATNA",5,87435.5,0
"MAIN AJMER ROAD JAIPUR",13,1711.1861538461542,0
"MAIN NAJAFGARH RD NEW DELHI",6,171.08,0
"MAIN RD NR ASTRON CHOWK RAJKOT",1,29552.1,0
"MAIN RD P N PALAYAM COIMBATORE",8,2.0500000000000003,0
"MAIN ROAD ABOVE SUZUKI BANGALORE",12,258273.66999999995,0
"MAIN ROAD BANGALORE",11,79184.38363636364,0
"MAIN ROAD MAHADEVAPURA BANGALORE",17,423033.40000000014,0
"MAIN ROAD P N PALAYAM COIMBATORE",37,15661.280270270276,0
MAINPURI,134,246889.3832089555,0
MAJARI,1,28948.91,0
MAJIRDANGA,6,5549.849999999999,0
"MAJOR MANOJ TALWAR PARK KANPUR",4,60862.83,0
MAJORDA,2,397323.69,0
"MAKARABA AHMEDABAD",3,94121.64999999998,0
"MAKARPURA BARODA",2,161.71,0
MAKDAVAN,1,653742.09,0
"MAKHMALI TALAO THANE WEST",4,637010.37,0
MAKRANA,6,1033.2299999999998,0
"MAL JALPAIGURI",5,7990.32,0
"MALABAR HILL MUMBAI",2,70.21,0
"MALAD  W MUMBAI",1,12590.78,0
"MALAD (W) KHARODI MUMBAI",2,103.44,0
"MALAD (W) MUMBAI",29,9950.3184,0
"MALAD EAST MUMBAI",7,106048.88,0
"MALAD W MUMBAI",34,42216.9388235294,0
"MALAD WEST DELY MUMBAI",2,50480.39,0
"MALAD WEST DELY WEST MUMBAI",5,27832.390000000003,0
"MALAD WEST MUMBAI",115,9527.142894736824,0
"MALAD WEST-MUMBAI",3,167209.35,0
"MALAD(W) MUMBAI",2,374382.39,0
MALAKAPUR,2,9421.11,0
MALAKPET,3,9893.89,0
MALALGAON,15,3611.61,0
MALAPPURAM,341,37687.614631268465,0
"MALAPPURAM DIST",23,21166.101739130438,0
"MALAPPURAM DT",7,361618.33571428567,0
MALAPURAM,9,888286.29,0
MALDA,72,9165.272916666661,0
"MALEGANV KHURD",3,17211.52,0
MALEGAON,3,37785.36,0
"MALEGAV KHU",3,10421.78,0
MALERKOTLA,8,109297.26249999998,0
MALIGRAM,1,9418.64,0
"MALKAJGIRI RANGAREDDY",13,3379.06,0
"MALKAJGIRI RANGAREDDY HYDERABAD",3,296939.28,0
MALKANGIRI,8,20675.772500000003,0
"MALL ANDHERI WEST MUMBAI",3,93.8,0
"MALL INDORE",8,31348.959999999995,0
"MALL KUNDALAHALLI BANGALORE",13,285843.71,0
"MALL MALAD W MUMBAI",1,3738.66,0
"MALL MUMBAI CENTRAL MUMBAI",2,22227.81,0
"MALL PUNE",4,41807.03,0
MALLAPPALLY,5,7328.652,0
MALLAPPURAM,2,3633.35,0
MALLAPUR,4,6147.28,0
"MALLAPURAM DT",3,1638.29,0
"MALLESHPALYA MAIN RD BANGALORE",2,59692.15,0
"MALLESHWARA BANGALORE",13,41.35000000000001,0
"MALLESHWARAM BANGALORE",24,50341.24874999999,0
"MALLESHWARAM W BANGALORE",46,981997.8900000005,0
"MALLESWARAM BANGALORE",14,29259.58142857143,0
"MALLESWARAM WEST BANGALORE",42,361952.1400000002,0
MALOUT,44,24125.921818181814,0
"MALOUT (PUNJAB)",8,42.07999999999999,0
"MALUGRAM SILCHAR",2,14.92,0
"MALVANI GATE 1 KHARODI MUMBAI",27,2530.9800000000014,0
"MALVANI MUMBAI",1,21665.61,0
MALVERN,6,423048.3599999999,0
MALWAN,1,NULL,0
"MALWANI DEPOT MUMBAI",9,44619.59,0
"MALWANI MUMBAI",11,7882.289999999999,0
"MAMAHAJI ALI WORLI MUMBAI",2,7808.375,0
MANALI,425,72164.39924349886,0
"MANALI (21/26) KULLU",17,192035.79,0
"MANALI 21/26 KULLU",7,18087.39,0
MANAMA,31,513263.6038709678,0
MANAMADURAI,3,1147.99,0
MANANTHAVADY,2,46790.685,0
MANAPAKKAM,7,6874.150000000001,0
"MANAPALYA BOMMNAHALLI BANGALORE",27,179129.01999999993,0
MANARCADU,4,9051.45,0
MANAULI,6,166334.22,0
MANAVADAR,9,40396.60999999999,0
"MANDA KALYAN THANE",1,245326.68,0
"MANDABAM OPP CHENNAI",2,16451.54,0
"MANDAL K V RANGAREDDY HYDERABAD",10,30728.030000000006,0
"MANDAL LIBRARY MUMBAI",8,637120.56,0
"MANDAL MUMBAI",1,13065.63,0
"MANDAL UDAIPUR",8,74662.76,0
"MANDAL VISAKHAPATNAM",41,15917.239999999994,0
MANDALGARH,2,24.59,0
"MANDAPAM CHENNAI",3,61541.97,0
"MANDAPESHWAR MUMBAI",11,23013.671818181818,0
"MANDAPESHWAR MUMBAI (SUBURBAN)",1,18412.85,0
MANDAPETA,11,5989.090909090911,0
MANDAWA,2,5958.33,0
MANDAWALI,1,96496.02,0
MANDI,444,16061.545337837855,0
"MANDI DABWALI",29,148429.87999999992,0
"MANDI GOBINDGARH",133,40767.64609022559,0
"MANDI GURHARSAHI",1,10964.54,0
MANDIDEEP,6,2242.0933333333337,0
MANDIGOBINDGARH,16,12385.26125,0
MANDIGOBINGARH,1,42275.75,0
"MANDIR  NAGPUR",1,177081.1,0
"MANDIR ASANSOL",1,270677.31,0
"MANDIR BHIWANDI",1,44834.26,0
"MANDIR CLUB KOLKATA",18,16314.390000000007,0
"MANDIR DHANBAD",7,49085.54,0
"MANDIR GOHANA",1,4386.3,0
"MANDIR GURUKUL AHMEDABAD",10,468.72000000000014,0
